-1.0185,-0.0026,-0.0170
-1.0173,-0.0035,-0.0221
-1.0156,0.0007,-0.0111
-1.0141,0.0010,-0.0166
-1.0178,-0.0009,-0.0224
-1.0160,0.0052,-0.0183
-1.0162,-0.0072,-0.0153
-1.0146,-0.0023,-0.0188
-1.0108,-0.0032,-0.0155
-1.0183,-0.0028,-0.0198
-1.0138,0.0019,-0.0185
-1.0207,0.0009,-0.0163
-1.0215,-0.0008,-0.0134
-1.0180,0.0004,-0.0227
-1.0177,-0.0025,-0.0192
-1.0187,0.0006,-0.0125
-1.0126,-0.0011,-0.0175
-1.0173,0.0031,-0.0135
-1.0189,-0.0023,-0.0195
-1.0119,-0.0050,-0.0244
-1.0222,-0.0048,-0.0160
-1.0101,0.0037,-0.0165
-1.0187,-0.0045,-0.0074
-1.0218,-0.0005,-0.0224
-1.0142,-0.0005,-0.0188
-1.0162,-0.0041,-0.0156
-1.0165,0.0003,-0.0180
-1.0131,-0.0025,-0.0158
-1.0097,-0.0022,-0.0162
-1.0098,0.0043,-0.0193
-1.0127,0.0025,-0.0195
-1.0171,0.0027,-0.0174
-1.0162,-0.0014,-0.0156
-1.0117,0.0012,-0.0206
-1.0157,-0.0018,-0.0232
-1.0209,-0.0019,-0.0220
-1.0112,0.0001,-0.0232
-1.0146,-0.0052,-0.0214
-1.0174,-0.0056,-0.0194
-1.0146,0.0006,-0.0192
-1.0121,0.0001,-0.0220
-1.0135,0.0014,-0.0172
-1.0130,-0.0025,-0.0135
-1.0153,0.0027,-0.0219
-1.0173,-0.0064,-0.0243
-1.0147,-0.0026,-0.0149
-1.0124,0.0022,-0.0164
-1.0133,-0.0017,-0.0137
-1.0192,0.0016,-0.0200
-1.0176,-0.0070,-0.0152
-1.0236,-0.0001,-0.0195
-1.0128,-0.0051,-0.0213
-1.0120,-0.0053,-0.0272
-1.0132,0.0025,-0.0197
-1.0154,0.0004,-0.0177
-1.0117,-0.0017,-0.0122
-1.0140,-0.0002,-0.0170
-1.0150,-0.0043,-0.0181
-1.0100,0.0003,-0.0139
-1.0167,0.0023,-0.0124
-1.0129,-0.0035,-0.0203
-1.0150,0.0009,-0.0264
-1.0195,-0.0018,-0.0177
-1.0121,-0.0034,-0.0178
-1.0156,-0.0020,-0.0173
-1.0152,-0.0000,-0.0172
-1.0132,-0.0011,-0.0194
-1.0119,-0.0031,-0.0134
-1.0146,0.0043,-0.0160
-1.0123,-0.0031,-0.0254
-1.0166,0.0012,-0.0183
-1.0101,0.0010,-0.0185
-1.0119,0.0058,-0.0169
-1.0135,0.0019,-0.0179
-1.0134,-0.0002,-0.0209
-1.0139,-0.0063,-0.0185
-1.0162,-0.0038,-0.0153
-1.0145,-0.0030,-0.0190
-1.0155,-0.0014,-0.0216
-1.0163,-0.0030,-0.0223
-1.0161,-0.0016,-0.0195
-1.0156,-0.0026,-0.0168
-1.0164,-0.0009,-0.0222
-1.0157,-0.0029,-0.0135
-1.0152,-0.0059,-0.0166
-1.0184,-0.0005,-0.0157
-1.0143,-0.0024,-0.0170
-1.0182,0.0029,-0.0153
-1.0138,0.0037,-0.0143
-1.0180,-0.0041,-0.0190
-1.0162,0.0021,-0.0166
-1.0176,-0.0015,-0.0089
-1.0171,-0.0005,-0.0154
-1.0178,-0.0042,-0.0263
-1.0196,-0.0017,-0.0251
-1.0153,0.0055,-0.0230
-1.0066,-0.0041,-0.0132
-1.0169,0.0016,-0.0209
-1.0182,0.0039,-0.0230
-1.0145,0.0011,-0.0173
-1.0129,-0.0047,-0.0168
-1.0098,0.0014,-0.0219
-1.0132,0.0010,-0.0189
-1.0157,0.0042,-0.0185
-1.0227,-0.0006,-0.0178
-1.0101,-0.0040,-0.0162
-1.0194,0.0005,-0.0181
-1.0115,-0.0019,-0.0152
-1.0082,-0.0002,-0.0153
-1.0165,0.0002,-0.0154
-1.0177,-0.0048,-0.0134
-1.0160,-0.0047,-0.0153
-1.0177,-0.0005,-0.0167
-1.0175,-0.0011,-0.0178
-1.0242,-0.0059,-0.0223
-1.0129,0.0042,-0.0165
-1.0181,-0.0044,-0.0166
-1.0146,-0.0011,-0.0183
-1.0127,-0.0089,-0.0148
-1.0187,-0.0090,-0.0170
-1.0108,-0.0053,-0.0175
-1.0160,0.0003,-0.0188
-1.0181,-0.0055,-0.0123
-1.0145,0.0024,-0.0214
-1.0124,-0.0034,-0.0214
-1.0201,-0.0039,-0.0211
-1.0145,-0.0035,-0.0204
-1.0189,0.0007,-0.0185
-1.0206,0.0020,-0.0157
-1.0119,0.0037,-0.0174
-1.0124,-0.0029,-0.0209
-1.0170,-0.0040,-0.0222
-1.0210,0.0027,-0.0199
-1.0161,-0.0024,-0.0193
-1.0171,0.0010,-0.0185
-1.0112,-0.0061,-0.0194
-1.0115,-0.0009,-0.0222
-1.0181,0.0001,-0.0156
-1.0173,-0.0019,-0.0192
-1.0137,-0.0016,-0.0200
-1.0134,-0.0031,-0.0244
-1.0225,0.0017,-0.0172
-1.0184,-0.0006,-0.0199
-1.0133,-0.0056,-0.0149
-1.0202,0.0029,-0.0185
-1.0162,-0.0008,-0.0079
-1.0133,-0.0007,-0.0189
-1.0096,-0.0004,-0.0151
-1.0149,-0.0005,-0.0217
-1.0174,-0.0058,-0.0164
-1.0169,-0.0003,-0.0155
-1.0127,0.0009,-0.0160
-1.0150,-0.0056,-0.0257
-1.0159,0.0007,-0.0208
-1.0138,-0.0017,-0.0172
-1.0163,0.0006,-0.0220
-1.0125,-0.0018,-0.0178
-1.0145,-0.0042,-0.0230
-1.0173,0.0016,-0.0246
-1.0164,0.0019,-0.0157
-1.0140,0.0047,-0.0185
-1.0129,0.0006,-0.0188
-1.0127,-0.0031,-0.0157
-1.0194,-0.0048,-0.0159
-1.0181,-0.0037,-0.0204
-1.0125,-0.0021,-0.0202
-1.0156,-0.0037,-0.0183
