========================================
  BAI 3: ANH HUONG GIA TOC TRONG TRUONG
========================================
Quy tac: Ax = sin(pitch), Az = cos(pitch), Ay ~ 0 khi chi nghieng theo X

Bang ly thuyet (nghieng theo truc X - Pitch):
 Goc |  Ax(g) |  Ay(g) |  Az(g) | |a|(g)
-----|--------|--------|--------|-------
  0  | 0.000  | 0.000  | 1.000  | 1.000
  15  | 0.259  | 0.000  | 0.966  | 1.000
  30  | 0.500  | 0.000  | 0.866  | 1.000
  45  | 0.707  | 0.000  | 0.707  | 1.000
  60  | 0.866  | 0.000  | 0.500  | 1.000
  90  | 1.000  | 0.000  | 0.000  | 1.000

--- DO THUC TE ---
Goc | Ax_do | Ay_do | Az_do | |a| | Sai lech%

Dat cam bien nghieng 0 do (theo truc X), nhan phim:
angle_deg,ax,ay,az
0.0,0.0015,0.0027,1.0017
0.0,0.0074,0.0045,1.0008
0.0,0.0041,0.0011,1.0056
0.0,-0.0017,0.0013,1.0047
0.0,-0.0041,-0.0043,0.9954
0.0,0.0004,0.0014,1.0060
0.0,0.0014,0.0041,0.9974
0.0,-0.0039,-0.0010,1.0027
0.0,0.0011,-0.0070,1.0012
0.0,-0.0027,0.0012,1.0026
0.0,-0.0016,-0.0023,0.9983
0.0,0.0010,0.0021,0.9985
0.0,0.0027,-0.0024,0.9991
0.0,0.0009,-0.0039,0.9998
0.0,-0.0024,0.0051,1.0016
0.0,-0.0009,-0.0002,1.0012
0.0,0.0005,0.0010,1.0038
0.0,-0.0004,-0.0025,1.0007
0.0,-0.0057,-0.0053,1.0056
0.0,0.0061,-0.0015,1.0032
0.0,0.0021,0.0084,1.0049
0.0,0.0008,-0.0037,0.9967
0.0,0.0018,-0.0031,0.9972
0.0,-0.0007,-0.0040,1.0066
0.0,0.0038,-0.0008,1.0059
0.0,0.0014,-0.0034,1.0061
0.0,0.0028,-0.0039,1.0009
0.0,-0.0014,-0.0049,1.0043
0.0,0.0069,-0.0050,1.0032
0.0,-0.0008,-0.0023,0.9997
0.0,-0.0014,-0.0007,0.9990
0.0,0.0020,-0.0010,1.0008
0.0,-0.0015,-0.0025,1.0038
0.0,0.0027,-0.0037,1.0018
0.0,0.0035,-0.0058,1.0031
0.0,-0.0008,0.0009,0.9992
0.0,-0.0042,-0.0057,1.0016
0.0,0.0020,-0.0035,1.0034
0.0,-0.0038,-0.0010,0.9979
0.0,-0.0008,-0.0007,0.9989
0.0,0.0000,0.0022,0.9998
0.0,0.0037,-0.0042,1.0031
0.0,0.0055,-0.0082,0.9991
0.0,0.0029,-0.0014,1.0026
0.0,-0.0006,-0.0005,1.0010
0.0,0.0047,-0.0000,1.0025
0.0,-0.0000,-0.0023,1.0002
0.0,0.0024,-0.0021,1.0024
0.0,0.0074,0.0018,1.0005
0.0,0.0048,-0.0020,0.9954
0.0,-0.0018,-0.0064,1.0004
0.0,0.0013,0.0042,1.0025
0.0,0.0005,0.0017,0.9949
0.0,0.0019,0.0015,0.9971
0.0,0.0046,0.0002,1.0003
0.0,0.0031,0.0060,1.0020
0.0,0.0019,-0.0022,0.9990
0.0,0.0037,-0.0034,1.0017
0.0,-0.0002,0.0006,1.0025
0.0,0.0043,-0.0023,1.0007
0.0,-0.0017,-0.0021,1.0026
  0  | 0.001  | -0.001  | 1.002  | 1.0016  | 0.16%
  [OK]

Dat cam bien nghieng 15 do (theo truc X), nhan phim:
angle_deg,ax,ay,az
15.0,0.2629,-0.0023,0.9674
15.0,0.2647,0.0017,0.9704
15.0,0.2583,-0.0032,0.9595
15.0,0.2651,0.0025,0.9646
15.0,0.2614,-0.0029,0.9721
15.0,0.2610,0.0008,0.9670
15.0,0.2620,0.0012,0.9624
15.0,0.2620,0.0061,0.9688
15.0,0.2654,-0.0010,0.9618
15.0,0.2602,0.0007,0.9681
15.0,0.2555,0.0051,0.9643
15.0,0.2593,-0.0025,0.9598
15.0,0.2631,0.0007,0.9609
15.0,0.2567,-0.0005,0.9698
15.0,0.2598,-0.0040,0.9641
15.0,0.2598,-0.0076,0.9646
15.0,0.2599,0.0026,0.9703
15.0,0.2640,-0.0003,0.9615
15.0,0.2683,0.0007,0.9648
15.0,0.2605,0.0011,0.9644
15.0,0.2589,-0.0011,0.9647
15.0,0.2590,-0.0016,0.9651
15.0,0.2598,0.0050,0.9568
15.0,0.2639,0.0042,0.9586
15.0,0.2596,-0.0006,0.9606
15.0,0.2583,-0.0028,0.9701
15.0,0.2634,0.0043,0.9670
15.0,0.2572,-0.0011,0.9663
15.0,0.2569,0.0026,0.9641
15.0,0.2595,0.0026,0.9661
15.0,0.2595,0.0040,0.9616
15.0,0.2624,0.0023,0.9639
15.0,0.2616,-0.0033,0.9676
15.0,0.2600,-0.0011,0.9679
15.0,0.2585,-0.0037,0.9601
15.0,0.2624,-0.0033,0.9701
15.0,0.2544,0.0056,0.9654
15.0,0.2603,-0.0011,0.9660
15.0,0.2605,0.0038,0.9651
15.0,0.2611,-0.0006,0.9646
15.0,0.2615,-0.0046,0.9608
15.0,0.2628,0.0010,0.9642
15.0,0.2607,0.0015,0.9632
15.0,0.2583,0.0011,0.9619
15.0,0.2618,-0.0046,0.9679
15.0,0.2620,0.0013,0.9677
15.0,0.2656,0.0035,0.9593
15.0,0.2568,-0.0014,0.9649
15.0,0.2622,-0.0017,0.9654
15.0,0.2583,-0.0013,0.9606
15.0,0.2578,-0.0036,0.9619
15.0,0.2638,-0.0023,0.9727
15.0,0.2621,0.0011,0.9622
15.0,0.2627,-0.0012,0.9652
15.0,0.2683,0.0002,0.9682
15.0,0.2585,0.0004,0.9701
15.0,0.2587,0.0059,0.9669
15.0,0.2589,0.0024,0.9677
15.0,0.2625,-0.0042,0.9626
15.0,0.2599,0.0003,0.9667
15.0,0.2611,-0.0035,0.9659
15.0,0.2624,0.0022,0.9680
15.0,0.2631,0.0019,0.9646
15.0,0.2556,0.0018,0.9654
15.0,0.2614,-0.0033,0.9616
15.0,0.2638,0.0004,0.9668
15.0,0.2607,0.0006,0.9676
15.0,0.2591,0.0008,0.9634
15.0,0.2593,-0.0004,0.9655
15.0,0.2592,0.0043,0.9621
15.0,0.2600,-0.0008,0.9691
15.0,0.2612,0.0036,0.9603
15.0,0.2614,0.0032,0.9650
15.0,0.2638,-0.0011,0.9690
15.0,0.2675,-0.0006,0.9635
15.0,0.2650,0.0052,0.9632
15.0,0.2593,-0.0003,0.9608
15.0,0.2578,-0.0025,0.9625
15.0,0.2605,0.0012,0.9695
15.0,0.2576,0.0035,0.9642
15.0,0.2605,0.0025,0.9614
15.0,0.2617,0.0010,0.9663
15.0,0.2615,0.0079,0.9629
15.0,0.2590,-0.0014,0.9631
15.0,0.2587,0.0041,0.9691
15.0,0.2589,-0.0020,0.9662
15.0,0.2589,0.0024,0.9654
15.0,0.2561,0.0051,0.9702
15.0,0.2588,-0.0007,0.9657
15.0,0.2616,0.0025,0.9708
15.0,0.2601,-0.0019,0.9607
15.0,0.2584,0.0004,0.9702
15.0,0.2590,0.0012,0.9648
15.0,0.2642,0.0081,0.9632
15.0,0.2591,0.0036,0.9668
15.0,0.2661,0.0023,0.9637
15.0,0.2624,0.0038,0.9673
15.0,0.2621,0.0037,0.9683
15.0,0.2647,0.0024,0.9643
15.0,0.2610,0.0041,0.9623
15.0,0.2617,-0.0007,0.9649
15.0,0.2644,0.0011,0.9649
15.0,0.2565,0.0027,0.9667
15.0,0.2671,-0.0004,0.9655
15.0,0.2613,0.0052,0.9645
15.0,0.2614,0.0023,0.9654
15.0,0.2593,0.0011,0.9680
15.0,0.2575,0.0009,0.9627
15.0,0.2642,-0.0041,0.9631
15.0,0.2617,0.0052,0.9646
15.0,0.2589,0.0061,0.9605
15.0,0.2540,0.0018,0.9633
15.0,0.2575,0.0026,0.9655
15.0,0.2589,-0.0033,0.9674
15.0,0.2626,0.0002,0.9703
15.0,0.2574,-0.0041,0.9627
15.0,0.2605,0.0012,0.9641
15.0,0.2617,-0.0033,0.9691
15.0,0.2604,0.0039,0.9658
15.0,0.2620,0.0022,0.9661
15.0,0.2625,0.0045,0.9654
15.0,0.2627,0.0002,0.9691
15.0,0.2586,0.0059,0.9647
15.0,0.2563,0.0009,0.9628
15.0,0.2631,-0.0015,0.9635
15.0,0.2549,-0.0009,0.9575
