Pos 6 - Y HUONG XUONG
ax,ay,az
-0.0257,-0.9797,-0.0141
-0.0139,-0.9693,-0.0096
-0.0130,-0.9776,-0.0105
-0.0176,-0.9788,-0.0132
-0.0192,-0.9734,-0.0103
-0.0199,-0.9769,-0.0187
-0.0162,-0.9754,-0.0121
-0.0161,-0.9767,-0.0154
-0.0201,-0.9762,-0.0112
-0.0201,-0.9765,-0.0167
-0.0194,-0.9811,-0.0143
-0.0161,-0.9744,-0.0125
-0.0188,-0.9718,-0.0161
-0.0165,-0.9775,-0.0110
-0.0185,-0.9769,-0.0109
-0.0203,-0.9792,-0.0137
-0.0224,-0.9745,-0.0141
-0.0224,-0.9737,-0.0106
-0.0186,-0.9760,-0.0088
-0.0189,-0.9741,-0.0160
-0.0160,-0.9755,-0.0102
-0.0190,-0.9776,-0.0162
-0.0187,-0.9766,-0.0165
-0.0136,-0.9714,-0.0191
-0.0255,-0.9803,-0.0115
-0.0086,-0.9791,-0.0131
-0.0133,-0.9767,-0.0081
-0.0147,-0.9751,-0.0089
-0.0147,-0.9799,-0.0126
-0.0202,-0.9749,-0.0162
-0.0215,-0.9748,-0.0120
-0.0132,-0.9743,-0.0070
-0.0134,-0.9710,-0.0244
-0.0207,-0.9734,-0.0166
-0.0198,-0.9727,-0.0118
-0.0192,-0.9689,-0.0135
-0.0141,-0.9752,-0.0117
-0.0193,-0.9779,-0.0128
-0.0228,-0.9729,-0.0116
-0.0195,-0.9722,-0.0156
-0.0249,-0.9735,-0.0168
-0.0229,-0.9744,-0.0086
-0.0207,-0.9781,-0.0067
-0.0229,-0.9720,-0.0105
-0.0205,-0.9755,-0.0150
-0.0203,-0.9755,-0.0145
-0.0238,-0.9725,-0.0141
-0.0152,-0.9755,-0.0022
-0.0160,-0.9797,-0.0168
-0.0211,-0.9765,-0.0178
-0.0219,-0.9749,-0.0175
-0.0183,-0.9742,-0.0155
-0.0159,-0.9747,-0.0082
-0.0157,-0.9757,-0.0126
-0.0164,-0.9737,-0.0179
-0.0148,-0.9770,-0.0080
-0.0174,-0.9773,-0.0120
-0.0130,-0.9776,-0.0180
-0.0189,-0.9706,-0.0064
-0.0144,-0.9824,-0.0128
-0.0197,-0.9756,-0.0158
  Mean -> Ax=-0.0178  Ay=-0.9757  Az=-0.0120
